Forecast Date,Predicted Sales
2026-01-14,124.28056159454168
2026-01-15,124.08604390678944
2026-01-16,123.89152621903723
2026-01-17,123.69700853128502
2026-01-18,123.5024908435328
2026-01-19,123.30797315578059
2026-01-20,123.11345546802835
2026-01-21,122.91893778027614
2026-01-22,122.72442009252391
2026-01-23,122.5299024047717
2026-01-24,122.33538471701947
2026-01-25,122.14086702926726
2026-01-26,121.94634934151503
2026-01-27,121.75183165376282
2026-01-28,121.55731396601061
2026-01-29,121.36279627825837
2026-01-30,121.16827859050616
2026-01-31,120.97376090275394
2026-02-01,120.77924321500173
2026-02-02,120.58472552724949
2026-02-03,120.39020783949728
2026-02-04,120.19569015174505
2026-02-05,120.00117246399284
2026-02-06,119.80665477624063
2026-02-07,119.6121370884884
2026-02-08,119.41761940073617
2026-02-09,119.22310171298396
2026-02-10,119.02858402523175
2026-02-11,118.83406633747951
2026-02-12,118.63954864972729
